"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"C" 2.51152496688765 0.04178662454915 2.4320207426043 2.48244560180752 2.51054676892416 2.54012832126151 2.59540092357841 1.00099466738561 6000
"D" 1.01276157240573 0.104333828253324 0.815818395804266 0.939936960212796 1.01156600829811 1.08227574072006 1.22135542439889 1.00097200403558 6000
"K_V" 0.977320742803031 0.194092808215316 0.628619626539494 0.83507018376667 0.974044830225702 1.1092146396901 1.37307148673892 1.06781706280501 43
"Q" 10.2677078099978 0.804939759271495 8.7721706516922 9.71791944012476 10.238176895356 10.7971287391974 11.9234029037971 1.00322200879266 810
"deviance" -429.736194669707 4.16438644360912 -435.868734502116 -432.796786843879 -430.414793145576 -427.338331038834 -419.930209189695 1.00402387283361 610
"r_P" 0.504855778054401 0.0313577407594763 0.444966226554461 0.483093302915731 0.5046124974137 0.525339801556137 0.568196897245919 1.00303702550123 880
"r_V" 2.04002983322596 0.173559754888878 1.73987344727802 1.91359405283463 2.02301553394409 2.15554117753345 2.40254704598338 1.06278636325979 45
"sigma2_P" 0.0537552687846146 0.00242332938136743 0.0492672287201777 0.0520774547453788 0.0536993794708664 0.0553545339562992 0.0586374325968748 1.00131617754638 3500
"sigma2_V" 0.0497744454757593 0.00220392125416389 0.0456607678949647 0.0482475180582316 0.0497004812920397 0.0512140451568733 0.0542744724780568 1.00085749047133 6000
"tau_FR" 20.7076835562551 0.934106111190521 18.9168271125934 20.0702915113232 20.6937962306908 21.3354977468865 22.5670038036107 1.0009053919752 6000
