"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"K_V" 7.71184989315567 1.43201165261865 4.75284437717227 6.7430860977264 7.80558260418 8.89920420106088 9.884297645893 1.07980338149617 34
"Q" 6.59429789033289 1.01085376305945 4.86974353261505 5.90422660030175 6.48093920239188 7.17180730109223 8.92060651294132 1.00733187756502 750
"a" 2.16531274220379 0.813039150409292 1.04769224127966 1.59869320817618 2.02820652872031 2.55434080114344 4.06407055019708 1.00081770233066 6000
"deviance" -512.972750239216 4.10619371902431 -518.98778537492 -515.949935858593 -513.66039173967 -510.71616349116 -503.408301200865 1.00592865515902 390
"h" 0.398950294240495 0.00135666640410136 0.39621328991338 0.398075604537356 0.398966514459763 0.399867119238976 0.401499183314444 1.00108947854343 5900
"r_P" 0.506568246616492 0.0302588147277444 0.44978286157785 0.486594956319604 0.504743754376482 0.525303345435394 0.571954432755025 1.00739940968868 790
"r_V" 1.98965662087489 0.0856625818592834 1.87653197140503 1.92052618142359 1.97649731329022 2.03828372525691 2.18986586925016 1.07831304306398 34
"sigma2_P" 0.0503167739322134 0.0022747796762909 0.0460580564262923 0.0487622892764757 0.0502572548503989 0.0517988210361249 0.0550131929855465 1.00096607051287 6000
"sigma2_V" 0.0481344832851009 0.00214948376690148 0.0440912788612962 0.0466933653064016 0.0480584145760485 0.0495668218866011 0.0525457147810987 1.00159248349805 2400
"tau_FR" 20.3154885571453 0.909644506225736 18.5925101266859 19.6786406562059 20.2965873342093 20.9296421631705 22.1325408371026 1.00089399405709 6000
