"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"C" 1.50429356496328 0.0758857912962514 1.37264928624027 1.44420960637297 1.50370906522141 1.56090378612582 1.64853415425377 1.00943134831331 230
"D" 0.158823175118713 0.142922670054743 4.67879724578502e-70 1.29180462991724e-07 0.159948383938676 0.264562714746432 0.453314853861451 1.1722491657848 41
"Q" 10.6978375769901 3.06557441549871 5.65096149806461 8.52741363242778 10.3738398552233 12.5112274366381 17.7678497469474 1.00122068875788 4200
"deviance" 528.026142305711 5.49704736546738 519.477158117178 523.57960463547 527.554513565362 531.776396420833 539.649471798562 1.00847692233468 260
"gamma" 2.06201156730178 1.22147111725698 0.491270615433921 1.05463230415822 1.72393772600665 2.91570937784464 4.71395243766304 1.00640166734766 360
"r_P" 0.442271135330733 0.108122045539932 0.236941956749148 0.367461340576727 0.43881998116944 0.513453523819207 0.665044425490335 1.00171798687245 2100
"r_V" 2.49929229429182 0.559690884320178 1.46690271667782 2.06259885157561 2.48830261312049 2.96918059659116 3.43426361381502 1.00655808675219 350
"sigma2_P" 0.412509399175548 0.0605184986077416 0.310379934661639 0.370260552301224 0.406929755529208 0.449152624814038 0.5440082019148 1.00115918777271 4900
"sigma2_V" 0.585873049746791 0.0866236567237648 0.442271828058978 0.523408960996787 0.577510841995217 0.638170875130797 0.7791528604593 1.00090013658909 6000
"tau_FR" 6.3412793367219 0.928383248225494 4.64808170199637 5.6819090163971 6.29382803231026 6.95616115648004 8.25419031459214 1.0014260728426 3000
