"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2","-0.3154","-2.6049","11.0597"
"3","-0.0139","-2.8529","11.7699"
"4"," 0.6758","-2.3822","13.2760"
"5"," 0.9787","-2.3499","13.6738"
"6"," 1.3728","-1.8939","14.4441"
"7"," 1.4951","-1.6178","14.1944"
"8"," 1.3927","-1.7986","14.0389"
"9"," 0.9641","-1.3627","13.4170"
"10"," 0.2245","-1.3220","12.5416"
"11","-1.7704","-1.9987"," 6.3350"
"12","-4.6370","-3.5759"," 0.7881"
"13","-5.0757","-6.2942"," 0.3112"
"14","-3.2241","-7.4197"," 2.0803"
"15","-1.1291","-7.4354"," 8.2882"
"16"," 0.6131","-6.6248","13.4094"
"17"," 2.0589","-6.2467","14.6997"
"18"," 1.4127","-5.7290","14.3607"
"19"," 2.0798","-5.3925","14.3872"
"20"," 1.7054","-5.3044","14.6586"
"21"," 1.7282","-4.4687","14.6633"
"22"," 2.0598","-3.9371","14.1159"
"23"," 1.6308","-3.7003","13.9690"
"24"," 1.7389","-3.3229","14.2348"
"25"," 1.6128","-2.6604","14.3256"
"26"," 1.7588","-2.1688","14.5204"
"27"," 1.6558","-1.8792","14.4136"
"28"," 1.6232","-1.3316","14.1098"
"29"," 1.3412","-1.2654","14.3330"
"30"," 0.8843","-1.3683","13.4630"
"31"," 0.8378","-1.5571","13.6322"
"32"," 0.5544","-1.5190","12.9146"
"33"," 0.0767","-1.7803","12.0243"
"34","-0.3002","-2.7604","11.1799"
"35"," 0.2643","-2.6874","13.2044"
"36"," 1.0267","-2.2639","13.6054"
"37"," 1.4081","-2.1828","14.1246"
"38"," 1.1208","-2.0453","14.1047"
"39"," 0.9117","-1.7294","13.8601"
"40"," 0.5760","-1.8346","13.4264"
"41"," 0.7381","-1.9913","13.4716"
"42"," 0.4637","-2.2618","13.0779"
"43"," 0.7123","-2.2384","13.3124"
"44"," 0.7493","-2.3176","13.3389"
"45"," 0.5383","-2.2612","13.0583"
"46"," 0.7095","-2.2479","13.4943"
"47"," 1.0218","-2.4533","13.5250"
"48"," 1.4901","-2.4452","13.8363"
"49"," 1.8627","-2.1904","14.7069"
"50"," 1.6081","-1.7232","14.4167"
"51"," 1.5196","-1.8561","14.1888"
"52"," 1.0612","-1.5256","13.7921"
"53"," 0.8557","-1.7255","13.1261"
"54"," 0.3134","-1.5422","12.6743"
"55","-0.3785","-1.8878","10.9226"
"56","-1.2848","-2.1885"," 7.8466"
"57","-3.0297","-3.4669"," 2.1559"
"58","-2.6320","-4.9439"," 3.3590"
"59","-0.9593","-4.6966"," 9.5785"
"60"," 0.7419","-4.4466","13.1559"
"61"," 1.4040","-4.2545","13.8720"
"62"," 1.7915","-3.9949","14.0703"
"63"," 1.5366","-3.1924","14.6081"
"64"," 1.4424","-2.6476","14.2136"
"65"," 1.4839","-2.2653","13.9734"
"66"," 1.7370","-1.8459","14.1806"
"67"," 1.3434","-1.3168","14.4281"
"68"," 0.6687","-1.5848","13.3651"
"69"," 0.1089","-1.5326","12.3053"
"70","-0.8717","-2.2137"," 9.6049"
"71","-1.4997","-2.7680"," 7.2663"
"72","-1.9308","-3.3632"," 4.9710"
"73","-1.2979","-4.1285"," 7.2399"
"74","-0.2085","-3.9751","11.3188"
"75"," 0.7402","-3.7487","13.3659"
"76"," 1.6053","-3.2613","14.3529"
"77"," 1.4625","-2.6482","14.1271"
"78"," 1.1319","-2.4359","13.9736"
"79"," 1.5843","-2.2808","14.1184"
"80"," 1.4965","-1.9331","14.3353"
"81"," 1.1460","-1.6151","13.6758"
"82"," 1.0291","-1.6166","13.5456"
"83"," 0.4898","-1.4660","13.1816"
"84","-0.0208","-1.5912","11.5236"
"85","-1.6192","-2.0200"," 6.9604"
"86","-4.2492","-3.7597"," 0.8464"
"87","-3.5965","-6.3719"," 1.7941"
"88","-1.7220","-6.0386"," 6.2345"
"89"," 0.4118","-5.7194","13.0409"
"90"," 1.7233","-5.2361","14.5160"
"91"," 1.7318","-4.6757","14.4144"
"92"," 1.7089","-4.3996","14.5258"
"93"," 1.8522","-4.2467","14.6622"
"94"," 1.7302","-3.7076","14.2002"
"95"," 1.8012","-2.9164","15.0438"
"96"," 1.6910","-2.5436","14.2481"
"97"," 1.6325","-2.1116","14.7875"
"98"," 1.5871","-2.1418","14.3738"
"99"," 1.5712","-1.8559","14.2333"
"100"," 1.6100","-1.5203","14.2480"
