"","","","FR"
"1"," 0.000","-2.303"," 1.250"
"2"," 1.120","-2.697"," 2.040"
"3"," 1.502","-2.626"," 1.796"
"4"," 1.751","-2.511"," 2.386"
"5"," 1.541","-1.873"," 2.136"
"6"," 1.786","-1.372"," 2.012"
"7"," 1.895","-1.328"," 2.429"
"8"," 1.529","-1.003"," 1.858"
"9"," 1.633","-0.990"," 2.312"
"10"," 1.214","-0.752"," 2.202"
"11"," 1.257","-1.419"," 2.032"
"12"," 1.337","-1.229"," 2.154"
"13"," 1.448","-1.041"," 1.610"
"14"," 1.560","-1.297"," 1.991"
"15"," 1.930","-1.217"," 2.280"
"16"," 1.994","-0.733"," 2.478"
"17"," 1.228","-0.867"," 1.637"
"18"," 1.793","-0.957"," 1.913"
"19"," 1.703","-1.034"," 2.078"
"20"," 2.047","-0.937"," 2.232"
"21"," 1.584","-0.364"," 2.402"
"22"," 1.586","-0.618"," 2.099"
"23"," 1.462","-0.667"," 2.124"
"24"," 1.242","-0.977"," 1.671"
"25"," 1.469","-1.349"," 1.696"
"26"," 1.827","-1.422"," 2.012"
"27"," 1.568","-1.187"," 1.858"
"28"," 1.894","-1.052"," 2.104"
"29"," 1.616","-0.605"," 1.751"
"30"," 1.244","-0.733"," 1.874"
"31"," 1.367","-1.142"," 1.828"
"32"," 1.378","-1.682"," 1.651"
"33"," 1.798","-1.464"," 2.044"
"34"," 1.827","-1.353"," 2.103"
"35"," 1.966","-1.287"," 2.209"
"36"," 1.720","-0.570"," 1.535"
"37"," 2.047","-0.899"," 2.477"
"38"," 1.462","-1.137"," 2.032"
"39"," 2.080","-1.305"," 2.074"
"40"," 1.561","-0.956"," 1.983"
"41"," 1.801","-1.259"," 1.916"
"42"," 1.679","-1.195"," 2.159"
"43"," 1.258","-1.099"," 1.753"
"44"," 1.688","-1.313"," 1.851"
"45"," 1.347","-1.634"," 1.697"
"46"," 1.417","-1.268"," 2.236"
"47"," 1.502","-1.504"," 2.171"
"48"," 1.743","-1.795"," 2.352"
"49"," 1.670","-1.363"," 2.597"
"50"," 1.693","-1.074"," 2.123"
"51"," 1.552","-0.889"," 1.984"
"52"," 1.660","-0.805"," 2.042"
"53"," 1.232","-1.167"," 2.103"
"54"," 1.795","-1.161"," 2.050"
"55"," 1.811","-1.291"," 2.003"
"56"," 1.914","-1.194"," 1.891"
"57"," 1.668","-1.098"," 1.867"
"58"," 1.514","-1.235"," 1.991"
"59"," 1.489","-0.980"," 2.090"
"60"," 2.089","-1.031"," 2.228"
"61"," 1.734","-0.626"," 2.049"
"62"," 1.332","-0.831"," 2.118"
"63"," 1.577","-1.275"," 2.084"
"64"," 1.049","-1.104"," 2.204"
"65"," 1.522","-1.567"," 2.362"
"66"," 1.989","-1.333"," 2.053"
"67"," 1.618","-1.111"," 1.788"
"68"," 1.873","-0.867"," 2.180"
"69"," 1.940","-0.909"," 2.012"
"70"," 1.562","-0.963"," 1.846"
"71"," 1.753","-1.151"," 2.136"
"72"," 1.367","-1.262"," 2.093"
"73"," 1.456","-1.408"," 2.227"
"74"," 1.806","-1.583"," 2.465"
"75"," 1.611","-1.294"," 2.074"
"76"," 1.817","-1.194"," 2.012"
"77"," 1.915","-1.021"," 2.073"
"78"," 1.188","-0.758"," 1.638"
"79"," 1.757","-0.705"," 2.191"
"80"," 1.746","-0.920"," 2.033"
"81"," 1.151","-1.028"," 1.968"
"82"," 1.589","-1.425"," 1.672"
"83"," 1.410","-1.225"," 1.707"
"84"," 1.273","-1.124"," 1.754"
"85"," 1.472","-1.242"," 2.247"
"86"," 1.422","-1.481"," 2.311"
"87"," 1.479","-1.654"," 2.168"
"88"," 1.458","-1.352"," 1.859"
"89"," 1.636","-1.391"," 2.106"
"90"," 1.683","-1.108"," 2.164"
"91"," 1.860","-1.171"," 2.491"
"92"," 1.684","-1.007"," 1.602"
"93"," 1.481","-1.367"," 2.196"
"94"," 1.216","-1.092"," 1.583"
"95"," 1.542","-1.134"," 2.006"
"96"," 2.003","-0.799"," 2.162"
"97"," 1.766","-0.408"," 2.072"
"98"," 1.356","-0.537"," 1.529"
"99"," 1.928","-1.157"," 2.432"
"100"," 1.818","-0.504"," 2.193"
