"","","","FR"
"1"," 0.0377","-2.3026"," 1.2500"
"2"," 1.1068","-2.6814"," 1.1645"
"3"," 1.5737","-2.5069"," 2.1426"
"4"," 1.2187","-2.4418"," 2.0989"
"5"," 1.4413","-2.4961"," 2.0011"
"6"," 1.5595","-2.1380"," 2.1679"
"7"," 1.8139","-1.9298"," 2.1000"
"8"," 1.7569","-2.1328"," 2.0304"
"9"," 1.9615","-1.8124"," 2.1448"
"10"," 1.9974","-1.3528"," 2.2555"
"11"," 1.6480","-1.2529"," 1.9475"
"12"," 1.8085","-1.1188"," 2.2437"
"13"," 1.2504","-0.9983"," 1.8996"
"14"," 1.7252","-1.2439"," 2.2993"
"15"," 1.4743","-1.0204"," 2.0475"
"16"," 1.7974","-1.1907"," 1.7194"
"17"," 1.8494","-0.9432"," 2.2912"
"18"," 1.8382","-1.4067"," 1.8943"
"19"," 2.0017","-0.9492"," 2.2012"
"20"," 1.5983","-1.0853"," 2.0136"
"21"," 1.7684","-0.9848"," 1.9351"
"22"," 1.7329","-1.2115"," 1.7984"
"23"," 1.7076","-0.7949"," 1.7548"
"24"," 1.8542","-0.9887"," 2.3340"
"25"," 1.3391","-0.7561"," 1.7175"
"26"," 1.6649","-1.4428"," 2.3243"
"27"," 2.0915","-1.2481"," 2.1603"
"28"," 1.8564","-1.6423"," 2.1864"
"29"," 1.7206","-1.3017"," 2.2897"
"30"," 1.6194","-1.1773"," 2.8319"
"31"," 1.3969","-1.3105"," 1.5806"
"32"," 1.5998","-1.4625"," 2.1178"
"33"," 1.8313","-1.2175"," 2.0822"
"34"," 1.7647","-1.0821"," 1.6371"
"35"," 2.0254","-1.1844"," 2.4438"
"36"," 1.3352","-0.8908"," 2.1805"
"37"," 1.7405","-0.8039"," 2.3218"
"38"," 1.8635","-0.8406"," 2.3953"
"39"," 1.7228","-0.6535"," 2.3180"
"40"," 1.5259","-1.0710"," 1.6934"
"41"," 1.7123","-1.0854"," 2.0318"
"42"," 1.4496","-1.0264"," 1.9117"
"43"," 1.6317","-1.3911"," 2.2160"
"44"," 1.6363","-1.1712"," 2.3461"
"45"," 1.9141","-1.2567"," 2.5076"
"46"," 1.5908","-0.2869"," 1.9733"
"47"," 1.5668","-0.9720"," 1.8049"
"48"," 2.3575","-1.5105"," 2.2039"
"49"," 1.9602","-1.2104"," 2.3289"
"50"," 1.6858","-1.0277"," 2.4889"
"51"," 1.4861","-1.0512"," 1.7685"
"52"," 1.9610","-1.1625"," 2.0919"
"53"," 1.7375","-1.1540"," 2.3687"
"54"," 1.5708","-1.1647"," 1.8011"
"55"," 2.0738","-0.9289"," 2.3858"
"56"," 1.5463","-0.8784"," 2.4013"
"57"," 1.4343","-1.2566"," 2.0572"
"58"," 1.5819","-1.1939"," 2.1546"
"59"," 1.7119","-1.3507"," 2.0555"
"60"," 1.4226","-1.7655"," 1.8248"
"61"," 1.7486","-1.5150"," 2.2283"
"62"," 1.8961","-1.3361"," 1.5948"
"63"," 1.9002","-1.4025"," 2.1629"
"64"," 1.6556","-1.3441"," 2.0247"
"65"," 1.6971","-1.3247"," 2.3164"
"66"," 1.5397","-1.0440"," 1.8588"
"67"," 1.7065","-1.1076"," 1.7229"
"68"," 1.4840","-1.1371"," 2.1934"
"69"," 2.0891","-0.9682"," 1.8172"
"70"," 1.9116","-0.7889"," 2.2094"
"71"," 1.3704","-0.8365"," 2.0379"
"72"," 1.4980","-0.9631"," 2.0478"
"73"," 1.3459","-0.8115"," 1.8639"
"74"," 1.6479","-0.8469"," 1.8127"
"75"," 1.9019","-1.0595"," 2.2412"
"76"," 1.6712","-1.3897"," 2.1004"
"77"," 1.6538","-1.4634"," 2.3776"
"78"," 1.4504","-1.0874"," 1.7938"
"79"," 1.9729","-1.1782"," 2.4056"
"80"," 1.9156","-1.0297"," 2.3029"
"81"," 1.6407","-0.7279"," 2.4420"
"82"," 1.6384","-0.5122"," 2.0574"
"83"," 1.8343","-0.5535"," 1.9502"
"84"," 1.5475","-0.6248"," 1.6374"
"85"," 1.3044","-0.7635"," 1.9462"
"86"," 1.2013","-0.9761"," 2.2276"
"87"," 1.7569","-1.0896"," 2.0437"
"88"," 1.7573","-1.2090"," 2.2229"
"89"," 2.0555","-1.0949"," 2.1046"
"90"," 1.7641","-0.7684"," 1.9837"
"91"," 1.9853","-1.1551"," 2.2970"
"92"," 1.6926","-1.1195"," 2.0607"
"93"," 2.0336","-1.2735"," 2.0336"
"94"," 1.5960","-1.0216"," 1.8935"
"95"," 1.9952","-0.7847"," 1.8275"
"96"," 1.4785","-0.5416"," 2.3464"
"97"," 1.8729","-0.7152"," 1.8799"
"98"," 1.5025","-0.6700"," 1.8379"
"99"," 1.7104","-0.9446"," 2.1891"
"100"," 1.7259","-0.8649"," 2.0749"
